REGEX
(((0)[1-9])|([1-2][0-9])|((3)[0-1]))(\/)(((0)[1-9])|((1)[0-2]))(\/)(((2)(0)(0)[5-9])|((2)(0)(1)[0-9])|((2)(0)(2)(0)))

Casos encontrados
Armas 01/03/2005 Pérez, Susana
Drogas 22/10/2008 Hernández, Ernesto
Robo menor 15/03/2012 Pérez, Armando
Robo menor 29/01/2014 Ramírez, Matilda
Violencia intrafamiliar 05/01/2016 Cruz, Ana
Robo menor 15/01/2013 López, Armando
Armas 22/11/2009 Cruz, Matilda
Violencia intrafamiliar 21/01/2013 Ramírez, Matilda
Robo menor 08/06/2012 López, Ana
Violencia intrafamiliar 03/06/2007 Hernández, Pedro
Robo menor 31/12/2006 Cruz, Ana
Robo menor 13/02/2009 Pérez, Ana
Drogas 19/09/2018 Fernández, Pedro
Violencia intrafamiliar 30/06/2012 Cruz, Armando
Robo menor 07/09/2009 Cruz, Armando
Armas 04/08/2016 López, Miguel
Violencia intrafamiliar 29/09/2010 Ramírez, Armando
Robo menor 25/10/2019 Pérez, Armando
Drogas 16/03/2005 Pérez, Ratón
Armas 24/08/2014 Pérez, Ana
Violencia intrafamiliar 12/03/2007 Juárez, Ernesto
Armas 13/01/2016 Cruz, Ana
Robo menor 17/08/2006 Pérez, Armando
Robo menor 23/06/2008 López, Ernesto
Robo menor 11/05/2012 Juárez, Armando
Armas 18/02/2017 Ramírez, Ana
Armas 07/09/2015 López, Ernesto
Robo menor 24/07/2007 Ramírez, Miguel
Armas 12/01/2018 López, Ana
Robo menor 03/02/2014 Cruz, Armando
Robo menor 13/06/2018 López, Armando
Robo menor 17/08/2012 Juárez, Armando
Robo menor 23/06/2015 Hernández, Matilda
Robo menor 04/01/2015 Pérez, Armando
Violencia intrafamiliar 10/06/2016 Hernández, Armando
Robo menor 17/10/2005 Juárez, Armando
Robo menor 15/12/2020 Hernández, Ernesto
Violencia intrafamiliar 05/07/2019 Hernández, Ernesto
Robo menor 23/06/2005 Cruz, Ernesto
Robo menor 08/01/2009 Ramírez, Susana
Drogas 25/10/2018 Juárez, Miguel
Violencia intrafamiliar 27/12/2005 Juárez, Armando
Robo menor 18/07/2012 Hernández, Matilda
Violencia intrafamiliar 03/06/2012 Ramírez, Ana
Robo menor 21/11/2010 Juárez, Miguel
Robo menor 29/01/2014 Juárez, Matilda
Violencia intrafamiliar 30/04/2011 Pérez, Pedro
Robo menor 16/09/2010 Pérez, Ana
Violencia intrafamiliar 08/03/2005 Pérez, Pedro
Armas 24/03/2014 López, Ernesto
Robo menor 18/05/2010 Cruz, Armando
Violencia intrafamiliar 15/02/2016 Pérez, Ana
Violencia intrafamiliar 23/02/2019 Ramírez, Miguel
Robo menor 02/07/2011 Juárez, Matilda
Armas 29/06/2011 López, Ernesto
Drogas 17/12/2006 Cebolla, Shrek
Violencia intrafamiliar 12/04/2011 López, Ana
Violencia intrafamiliar 31/08/2013 Hernández, Armando
Armas 05/11/2019 Ramírez, Ana
Violencia intrafamiliar 22/03/2016 Hernández, Matilda
Violencia intrafamiliar 09/08/2015 López, Armando
Violencia intrafamiliar 27/02/2020 Juárez, Pedro
Robo menor 04/03/2005 Pérez, Miguel
Violencia intrafamiliar 13/11/2018 Ramírez, Ernesto
Violencia intrafamiliar 18/05/2008 Ramírez, Ana
Robo menor 30/05/2007 López, Susana
Armas 30/10/2015 López, Matilda
Armas 04/05/2007 López, Ernesto
Robo menor 07/07/2020 Ramírez, Miguel
Violencia intrafamiliar 19/12/2018 Pérez, Miguel
Drogas 27/11/2009 Bond, James
Robo menor 17/07/2005 Hernández, Miguel
Robo menor 22/04/2015 Ramírez, Pedro
Violencia intrafamiliar 09/01/2019 Ramírez, Matilda
Armas 13/02/2020 Pérez, Matilda
Robo menor 14/08/2018 Pérez, Susana
Robo menor 20/12/2008 Juárez, Miguel
Violencia intrafamiliar 22/10/2014 López, Susana
Violencia intrafamiliar 24/02/2015 Pérez, Armando
Robo menor 09/05/2011 Hernández, Armando
Robo menor 30/02/2009 López, Armando
Robo menor 20/09/2014 Cruz, Susana
Drogas 30/10/2006 López, Ana
Robo menor 23/12/2010 Hernández, Pedro
Drogas 19/01/2016 Juárez, Matilda
Robo menor 26/10/2020 López, Matilda
Violencia intrafamiliar 19/11/2013 López, Ernesto
Armas 01/12/2008 Juárez, Ana
Robo menor 22/11/2014 Pérez, Pedro
Violencia intrafamiliar 27/03/2010 Ramírez, Pedro
Violencia intrafamiliar 15/06/2016 Cruz, Ana
Armas 10/12/2019 Pérez, Armando
Violencia intrafamiliar 30/07/2005 Cruz, Susana
Armas 31/04/2020 López, Ernesto
Robo menor 27/09/2010 Cruz, Ernesto
Armas 20/06/2018 López, Susana
Violencia intrafamiliar 20/06/2019 Cruz, Ernesto
Violencia intrafamiliar 25/07/2015 Ramírez, Susana
Armas 04/08/2015 Pérez, Susana
Armas 03/08/2016 Cruz, Matilda
Violencia intrafamiliar 23/07/2009 López, Matilda
Violencia intrafamiliar 02/03/2014 Pérez, Ernesto
Armas 27/07/2013 Juárez, Armando
Armas 24/12/2008 Cruz, Miguel
Armas 28/09/2010 Ramírez, Susana
Robo menor 04/06/2018 Juárez, Pedro
Violencia intrafamiliar 27/07/2011 Ramírez, Miguel
Violencia intrafamiliar 16/04/2007 Ramírez, Armando
Robo menor 15/12/2013 Ramírez, Matilda
Armas 24/08/2020 Ramírez, Armando
Robo menor 14/11/2019 Pérez, Armando
Robo menor 21/06/2014 Juárez, Matilda
Armas 06/12/2014 López, Pedro
Violencia intrafamiliar 03/03/2017 López, Matilda
Armas 18/06/2014 Cruz, Ernesto
Robo menor 23/02/2008 Ramírez, Ana
Armas 12/09/2014 Hernández, Matilda
Robo menor 25/10/2015 Cruz, Pedro
Robo menor 05/06/2008 Hernández, Ana
Armas 06/12/2015 Pérez, Miguel
Violencia intrafamiliar 10/04/2010 Pérez, Ernesto
Violencia intrafamiliar 02/07/2008 López, Miguel
Armas 25/03/2020 Ramírez, Miguel
Armas 20/06/2005 Juárez, Ernesto
Robo menor 16/12/2007 López, Pedro
Drogas 28/03/2010 Pérez, Pedro
Robo menor 14/03/2008 Hernández, Pedro
Robo menor 26/06/2016 Cruz, Ernesto
Drogas 31/10/2011 Juárez, Susana
Robo menor 27/05/2019 Pérez, Matilda
Robo menor 09/12/2020 Ramírez, Miguel
Armas 16/01/2007 Cruz, Ernesto
Violencia intrafamiliar 05/04/2006 Hernández, Matilda
Violencia intrafamiliar 02/08/2017 López, Ana
Armas 04/01/2019 Hernández, Matilda
Violencia intrafamiliar 14/09/2006 López, Ana
Armas 27/05/2020 Pérez, Armando
Robo menor 18/11/2019 Juárez, Miguel
Robo menor 18/05/2018 López, Armando
Robo menor 01/10/2020 Cruz, Ernesto
Robo menor 30/09/2020 Juárez, Pedro
Armas 10/08/2008 Juárez, Miguel
Violencia intrafamiliar 17/07/2007 Pérez, Armando
Violencia intrafamiliar 31/06/2018 Cruz, Armando
Armas 14/10/2019 Hernández, Susana
Armas 01/12/2008 Cruz, Ana
Violencia intrafamiliar 11/07/2017 López, Susana
Robo menor 21/11/2007 Cruz, Ana
Robo menor 13/12/2013 López, Ernesto
Armas 13/10/2008 López, Pedro
Violencia intrafamiliar 06/12/2005 Juárez, Ernesto
Robo menor 17/08/2013 Hernández, Matilda
Robo menor 20/08/2018 López, Miguel
Drogas 02/01/2006 Juárez, Benito
Robo menor 27/07/2017 Ramírez, Matilda
Robo menor 06/05/2015 Juárez, Miguel
Drogas 24/05/2016 Pana, Miguel
Violencia intrafamiliar 22/07/2009 Hernández, Matilda
Robo menor 24/12/2016 Cruz, Ernesto
Violencia intrafamiliar 09/11/2016 Hernández, Matilda
Armas 23/11/2011 Pérez, Susana
Armas 14/08/2020 Ramírez, Pedro
Drogas 19/10/2014 López, Susana
Robo menor 11/12/2009 López, Pedro
Robo menor 20/06/2012 Pérez, Ana
Violencia intrafamiliar 12/02/2005 Pérez, Pedro
Armas 31/01/2013 López, Ana
Violencia intrafamiliar 22/09/2010 Ramírez, Armando
Robo menor 16/05/2001 Juárez, Ernesto
Violencia intrafamiliar 11/01/2016 Juárez, Ana
